Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
FBS;Nouveaux Bilans Alimentaire;33;Canada;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;55.43;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;40;Chili;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2251;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;40;Chili;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;42.83;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;40;Chili;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;769;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;40;Chili;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;47.81;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;351;Chine;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2441;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;351;Chine;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;60.2;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;351;Chine;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;735;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;351;Chine;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;40.72;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;96;Chine - RAS de Hong-Kong;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;1938;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;96;Chine - RAS de Hong-Kong;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;36.3;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;96;Chine - RAS de Hong-Kong;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;1332;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;96;Chine - RAS de Hong-Kong;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;99.61;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;128;Chine - RAS de Macao;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2254;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;128;Chine - RAS de Macao;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;38.13;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;128;Chine - RAS de Macao;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;1045;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;128;Chine - RAS de Macao;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;71.61;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;41;Chine, continentale;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2446;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;41;Chine, continentale;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;60.66;Fc;Donnée calculée
